time,lead1,lead2,lead3,lead4,lead5,lead6,lead7,lead8,lead9,lead10,lead11,lead12
0.0,-0.043,-0.055,-0.012,0.05,-0.016,-0.033,-0.052,-0.041,-0.004,-0.576,-0.209,0.273
0.01,-0.044,-0.055,-0.011,0.049,-0.016,-0.033,-0.057,-0.032,-0.011,-0.569,-0.206,0.266
0.02,-0.047,-0.054,-0.007,0.051,-0.02,-0.03,-0.053,-0.035,-0.018,-0.563,-0.204,0.269
0.03,-0.05,-0.075,-0.024,0.063,-0.013,-0.049,-0.052,-0.043,-0.024,-0.577,-0.219,0.271
0.04,-0.049,-0.079,-0.031,0.064,-0.009,-0.055,-0.047,-0.035,-0.027,-0.578,-0.226,0.268
0.05,-0.05,-0.073,-0.024,0.062,-0.013,-0.049,-0.046,-0.027,-0.023,-0.565,-0.219,0.264
0.06,-0.051,-0.069,-0.018,0.06,-0.016,-0.044,-0.041,-0.017,-0.021,-0.561,-0.216,0.261
0.07,-0.055,-0.067,-0.012,0.061,-0.021,-0.039,-0.022,-0.01,-0.01,-0.541,-0.211,0.259
0.08,-0.043,-0.042,0.001,0.042,-0.021,-0.02,-0.002,0.009,0.014,-0.521,-0.207,0.259
0.09,-0.04,-0.003,0.037,0.021,-0.038,0.017,0.03,0.019,0.03,-0.517,-0.203,0.267
0.1,-0.038,0.015,0.053,0.012,-0.045,0.034,-0.015,-0.014,0.02,-0.521,-0.2,0.276
0.11,-0.011,0.042,0.053,-0.016,-0.033,0.048,-0.076,-0.041,0.008,-0.52,-0.197,0.291
0.12,0.003,0.042,0.039,-0.023,-0.018,0.04,-0.108,-0.064,-0.001,-0.527,-0.192,0.297
0.13,0.013,0.02,0.007,-0.016,0.003,0.014,-0.15,-0.091,-0.02,-0.549,-0.193,0.293
0.14,0.052,0.011,-0.041,-0.031,0.046,-0.015,-0.15,-0.096,-0.028,-0.547,-0.186,0.304
0.15,0.027,-0.023,-0.049,-0.002,0.038,-0.035,-0.125,-0.095,-0.035,-0.555,-0.209,0.279
0.16,-0.036,-0.061,-0.024,0.048,-0.006,-0.042,-0.123,-0.094,-0.03,-0.542,-0.227,0.259
0.17,-0.063,-0.079,-0.016,0.071,-0.023,-0.047,-0.134,-0.099,-0.064,-0.56,-0.254,0.247
0.18,-0.063,-0.104,-0.041,0.084,-0.011,-0.073,-0.131,-0.109,-0.078,-0.558,-0.282,0.225
0.19,-0.051,-0.11,-0.059,0.081,0.004,-0.085,-0.169,-0.114,-0.095,-0.559,-0.282,0.221
0.2,-0.091,-0.109,-0.019,0.1,-0.036,-0.064,-0.125,-0.094,-0.088,-0.545,-0.293,0.195
0.21,-0.066,-0.112,-0.046,0.089,-0.01,-0.079,-0.171,-0.1,-0.076,-0.515,-0.267,0.209
0.22,-0.12,-0.103,0.017,0.111,-0.068,-0.043,0.104,0.115,0.003,-0.453,-0.357,0.127
0.23,-0.226,-0.131,0.095,0.178,-0.16,-0.018,0.697,0.99,0.437,-0.039,-0.511,-0.05
0.24,-0.179,-0.024,0.155,0.101,-0.167,0.066,1.054,1.821,0.859,0.391,-0.588,-0.154
0.25,0.204,0.839,0.635,-0.522,-0.216,0.737,0.505,0.686,1.291,0.953,-0.005,0.358
0.26,1.006,2.062,1.057,-1.534,-0.026,1.559,-2.187,-2.744,0.285,0.054,0.714,1.225
0.27,1.651,2.54,0.889,-2.096,0.381,1.714,-4.642,-5.357,-1.216,-1.439,1.271,1.94
0.28,2.036,2.133,0.097,-2.084,0.969,1.114,-5.336,-5.683,-0.877,-1.079,2.496,2.973
0.29,2.265,0.699,-1.567,-1.482,1.916,-0.434,-4.553,-4.74,-1.263,-1.606,2.899,3.292
0.3,1.599,-0.353,-1.951,-0.623,1.775,-1.152,-1.976,-2.396,-1.395,-1.86,1.771,2.184
0.31,0.306,-0.247,-0.554,-0.029,0.43,-0.4,-0.116,-0.296,-0.267,-0.714,0.29,0.68
0.32,-0.204,-0.212,-0.008,0.208,-0.097,-0.11,0.258,0.228,0.038,-0.369,-0.342,0.028
0.33,-0.169,-0.178,-0.01,0.173,-0.079,-0.094,0.301,0.272,0.08,-0.278,-0.269,0.067
0.34,-0.21,-0.148,0.062,0.178,-0.136,-0.043,0.309,0.304,0.103,-0.245,-0.308,0.016
0.35,-0.209,-0.156,0.053,0.182,-0.131,-0.051,0.355,0.34,0.113,-0.222,-0.279,0.023
0.36,-0.237,-0.136,0.1,0.186,-0.168,-0.018,0.361,0.37,0.149,-0.171,-0.279,0.012
0.37,-0.225,-0.15,0.075,0.187,-0.149,-0.037,0.4,0.402,0.15,-0.15,-0.268,-0.003
0.38,-0.199,-0.12,0.079,0.159,-0.139,-0.02,0.419,0.438,0.177,-0.096,-0.247,-0.004
0.39,-0.2,-0.123,0.077,0.161,-0.138,-0.023,0.459,0.476,0.189,-0.087,-0.239,-0.027
0.4,-0.232,-0.107,0.124,0.169,-0.178,0.008,0.504,0.542,0.234,-0.035,-0.202,-0.027
0.41,-0.235,-0.103,0.132,0.169,-0.183,0.015,0.542,0.598,0.255,0.004,-0.199,-0.044
0.42,-0.226,-0.094,0.131,0.16,-0.178,0.018,0.602,0.679,0.301,0.05,-0.186,-0.054
0.43,-0.266,-0.092,0.174,0.179,-0.22,0.041,0.673,0.782,0.369,0.125,-0.175,-0.057
0.44,-0.284,-0.105,0.179,0.194,-0.231,0.036,0.746,0.894,0.441,0.2,-0.152,-0.069
0.45,-0.31,-0.082,0.228,0.196,-0.269,0.072,0.841,1.047,0.539,0.302,-0.131,-0.08
0.46,-0.335,-0.053,0.282,0.194,-0.308,0.114,0.961,1.24,0.671,0.437,-0.12,-0.084
0.47,-0.379,-0.05,0.329,0.214,-0.354,0.139,1.07,1.441,0.802,0.571,-0.12,-0.107
0.48,-0.444,-0.052,0.392,0.248,-0.418,0.169,1.17,1.628,0.935,0.709,-0.121,-0.132
0.49,-0.47,-0.047,0.422,0.259,-0.446,0.187,1.238,1.783,1.041,0.82,-0.12,-0.166
0.5,-0.503,-0.043,0.46,0.273,-0.481,0.208,1.252,1.853,1.088,0.87,-0.122,-0.197
0.51,-0.538,-0.068,0.47,0.302,-0.504,0.201,1.217,1.838,1.077,0.858,-0.146,-0.239
0.52,-0.526,-0.079,0.446,0.302,-0.486,0.183,1.147,1.763,1.009,0.799,-0.185,-0.282
0.53,-0.49,-0.065,0.425,0.277,-0.457,0.18,1.011,1.567,0.881,0.675,-0.209,-0.298
0.54,-0.443,-0.059,0.384,0.251,-0.413,0.162,0.792,1.262,0.684,0.489,-0.215,-0.302
0.55,-0.356,-0.054,0.302,0.205,-0.329,0.124,0.544,0.912,0.447,0.257,-0.208,-0.288
0.56,-0.27,-0.055,0.214,0.162,-0.242,0.079,0.312,0.584,0.223,0.035,-0.197,-0.26
0.57,-0.189,-0.055,0.133,0.122,-0.161,0.039,0.131,0.327,0.055,-0.129,-0.177,-0.227
0.58,-0.124,-0.054,0.07,0.089,-0.097,0.008,0.012,0.15,-0.064,-0.245,-0.152,-0.209
0.59,-0.101,-0.057,0.044,0.078,-0.072,-0.006,-0.053,0.053,-0.136,-0.313,-0.139,-0.213
0.6,-0.079,-0.051,0.028,0.065,-0.053,-0.012,-0.093,0.0,-0.176,-0.346,-0.123,-0.215
0.61,-0.075,-0.06,0.015,0.067,-0.045,-0.022,-0.105,-0.026,-0.201,-0.362,-0.103,-0.217
0.62,-0.071,-0.071,-0.001,0.071,-0.035,-0.036,-0.113,-0.044,-0.21,-0.376,-0.096,-0.228
0.63,-0.051,-0.069,-0.018,0.061,-0.017,-0.043,-0.12,-0.065,-0.227,-0.38,-0.091,-0.237
0.64,-0.041,-0.071,-0.03,0.056,-0.005,-0.05,-0.112,-0.065,-0.235,-0.38,-0.086,-0.246
0.65,-0.037,-0.068,-0.031,0.053,-0.003,-0.05,-0.104,-0.066,-0.234,-0.38,-0.079,-0.26
0.66,-0.053,-0.082,-0.029,0.068,-0.012,-0.055,-0.097,-0.064,-0.245,-0.375,-0.076,-0.265
0.67,-0.053,-0.084,-0.031,0.069,-0.01,-0.057,-0.089,-0.06,-0.251,-0.375,-0.084,-0.27
0.68,-0.057,-0.086,-0.029,0.071,-0.014,-0.058,-0.083,-0.062,-0.249,-0.375,-0.084,-0.283
0.69,-0.064,-0.095,-0.031,0.079,-0.016,-0.063,-0.073,-0.055,-0.253,-0.384,-0.087,-0.299
0.7,-0.071,-0.096,-0.024,0.084,-0.023,-0.06,-0.07,-0.058,-0.266,-0.396,-0.089,-0.317
0.71,-0.093,-0.104,-0.011,0.099,-0.041,-0.057,-0.052,-0.041,-0.247,-0.377,-0.08,-0.323
0.72,-0.082,-0.082,0.0,0.082,-0.041,-0.041,-0.026,-0.014,-0.212,-0.341,-0.072,-0.322
0.73,-0.087,-0.059,0.027,0.073,-0.057,-0.016,0.012,-0.001,-0.208,-0.327,-0.053,-0.315
0.74,-0.069,-0.034,0.035,0.051,-0.052,0.0,0.041,0.034,-0.21,-0.312,-0.039,-0.311
0.75,-0.047,0.002,0.049,0.022,-0.048,0.025,-0.01,0.026,-0.211,-0.304,-0.034,-0.302
0.76,-0.041,0.028,0.069,0.006,-0.055,0.048,-0.049,-0.014,-0.209,-0.305,-0.028,-0.302
0.77,-0.029,0.004,0.033,0.013,-0.032,0.019,-0.097,-0.06,-0.214,-0.323,-0.021,-0.311
0.78,-0.022,-0.024,-0.001,0.023,-0.01,-0.012,-0.14,-0.082,-0.229,-0.35,-0.024,-0.319
0.79,0.026,-0.021,-0.047,-0.002,0.037,-0.034,-0.148,-0.079,-0.219,-0.347,-0.023,-0.325
0.8,0.002,-0.062,-0.064,0.03,0.033,-0.063,-0.144,-0.081,-0.225,-0.354,-0.027,-0.34
0.81,-0.041,-0.102,-0.062,0.072,0.011,-0.082,-0.143,-0.086,-0.244,-0.346,-0.043,-0.366
0.82,-0.077,-0.132,-0.054,0.105,-0.011,-0.093,-0.151,-0.113,-0.283,-0.377,-0.059,-0.393
0.83,-0.09,-0.138,-0.048,0.115,-0.021,-0.093,-0.133,-0.111,-0.273,-0.367,-0.05,-0.397
0.84,-0.076,-0.125,-0.049,0.101,-0.014,-0.086,-0.16,-0.122,-0.285,-0.365,-0.046,-0.389
0.85,-0.098,-0.127,-0.029,0.113,-0.035,-0.078,-0.112,-0.107,-0.268,-0.354,-0.051,-0.398
0.86,-0.05,-0.112,-0.063,0.081,0.007,-0.087,-0.178,-0.124,-0.255,-0.333,-0.026,-0.375
0.87,-0.16,-0.132,0.029,0.146,-0.094,-0.051,0.149,0.127,-0.169,-0.253,-0.086,-0.457
0.88,-0.248,-0.168,0.081,0.208,-0.164,-0.044,0.727,0.996,0.264,0.154,-0.201,-0.619
0.89,-0.189,-0.041,0.148,0.115,-0.168,0.053,1.097,1.741,0.592,0.487,-0.279,-0.712
0.9,0.231,0.806,0.574,-0.519,-0.172,0.689,0.569,0.828,1.095,1.097,0.281,-0.218
0.91,1.107,2.005,0.898,-1.556,0.104,1.451,-2.3,-2.542,0.215,0.33,0.964,0.615
0.92,1.749,2.446,0.697,-2.098,0.526,1.571,-4.867,-5.324,-1.214,-1.086,1.461,1.266
