time,lead1,lead2,lead3,lead4,lead5,lead6,lead7,lead8,lead9,lead10,lead11,lead12
0.0,0.005,0.011,0.006,-0.008,-0.001,0.008,-0.001,-0.063,-0.077,-0.128,-0.165,-0.181
0.01,0.004,0.004,0.0,-0.004,0.002,0.001,-0.001,-0.06,-0.076,-0.127,-0.168,-0.182
0.02,0.01,0.012,0.003,-0.011,0.004,0.008,0.002,-0.055,-0.071,-0.114,-0.158,-0.175
0.03,-0.03,-0.031,-0.001,0.03,-0.014,-0.017,-0.012,-0.082,-0.099,-0.156,-0.177,-0.203
0.04,-0.11,0.024,0.134,0.043,-0.123,0.079,0.007,-0.125,-0.168,-0.189,-0.227,-0.202
0.05,-0.058,0.066,0.124,-0.004,-0.092,0.095,-0.163,-0.464,-0.441,-0.285,-0.193,-0.164
0.06,0.383,0.36,-0.023,-0.371,0.203,0.168,-0.798,-1.038,-0.716,-0.049,0.302,0.219
0.07,0.948,0.7,-0.247,-0.824,0.597,0.226,-1.338,-1.396,-0.786,0.197,0.899,0.705
0.08,0.794,0.247,-0.547,-0.52,0.67,-0.15,-1.084,-1.14,-0.769,-0.337,0.402,0.388
0.09,0.284,-0.045,-0.329,-0.119,0.307,-0.187,-0.463,-0.548,-0.547,-0.588,-0.223,-0.092
0.1,0.078,-0.013,-0.091,-0.033,0.085,-0.051,-0.112,-0.182,-0.219,-0.287,-0.185,-0.175
0.11,-0.014,-0.06,-0.046,0.038,0.016,-0.053,0.043,0.034,-0.009,-0.11,-0.168,-0.218
0.12,-0.041,-0.026,0.015,0.033,-0.028,-0.005,0.082,0.1,0.054,-0.058,-0.15,-0.227
0.13,-0.038,-0.044,-0.005,0.041,-0.016,-0.024,0.084,0.099,0.082,-0.062,-0.139,-0.23
0.14,-0.047,-0.031,0.016,0.039,-0.031,-0.007,0.104,0.132,0.112,-0.039,-0.137,-0.231
0.15,-0.04,-0.029,0.011,0.034,-0.025,-0.009,0.114,0.137,0.119,-0.029,-0.124,-0.234
0.16,-0.033,-0.015,0.019,0.024,-0.026,0.002,0.123,0.155,0.134,-0.015,-0.124,-0.236
0.17,-0.021,0.003,0.024,0.009,-0.023,0.013,0.119,0.172,0.151,0.002,-0.111,-0.231
0.18,-0.02,0.006,0.026,0.007,-0.023,0.016,0.128,0.185,0.172,0.01,-0.111,-0.231
0.19,-0.013,0.024,0.037,-0.006,-0.025,0.03,0.134,0.196,0.189,0.033,-0.102,-0.226
0.2,-0.024,0.027,0.05,-0.002,-0.037,0.038,0.137,0.207,0.208,0.048,-0.1,-0.225
