threshold,precision,recall,f1,accuracy
0.0,0.2,1.0,0.3333333333333333,0.2
0.01,0.1724137931034483,0.5,0.2564102564102564,0.42
0.02,0.16,0.4,0.22857142857142856,0.46
0.03,0.16666666666666666,0.4,0.23529411764705882,0.48
0.04,0.15555555555555556,0.35,0.2153846153846154,0.49
0.05,0.175,0.35,0.23333333333333334,0.54
0.06,0.1891891891891892,0.35,0.24561403508771928,0.57
0.07,0.2,0.35,0.2545454545454545,0.59
0.08,0.20588235294117646,0.35,0.25925925925925924,0.6
0.09,0.20588235294117646,0.35,0.25925925925925924,0.6
0.1,0.20588235294117646,0.35,0.25925925925925924,0.6
0.11,0.22580645161290322,0.35,0.27450980392156865,0.63
0.12,0.22580645161290322,0.35,0.27450980392156865,0.63
0.13,0.20689655172413793,0.3,0.24489795918367346,0.63
0.14,0.21428571428571427,0.3,0.25,0.64
0.15,0.18518518518518517,0.25,0.2127659574468085,0.63
0.16,0.19230769230769232,0.25,0.21739130434782608,0.64
0.17,0.2,0.25,0.2222222222222222,0.65
0.18,0.16666666666666666,0.2,0.18181818181818182,0.64
0.19,0.17391304347826086,0.2,0.18604651162790697,0.65
0.2,0.19047619047619047,0.2,0.1951219512195122,0.67
0.21,0.19047619047619047,0.2,0.1951219512195122,0.67
0.22,0.2,0.2,0.2,0.68
0.23,0.2,0.2,0.2,0.68
0.24,0.21052631578947367,0.2,0.20512820512820512,0.69
0.25,0.21052631578947367,0.2,0.20512820512820512,0.69
0.26,0.23529411764705882,0.2,0.21621621621621623,0.71
0.27,0.23529411764705882,0.2,0.21621621621621623,0.71
0.28,0.23529411764705882,0.2,0.21621621621621623,0.71
0.29,0.23529411764705882,0.2,0.21621621621621623,0.71
0.3,0.23529411764705882,0.2,0.21621621621621623,0.71
0.31,0.23529411764705882,0.2,0.21621621621621623,0.71
0.32,0.23529411764705882,0.2,0.21621621621621623,0.71
0.33,0.23529411764705882,0.2,0.21621621621621623,0.71
0.34,0.2,0.15,0.17142857142857143,0.71
0.35,0.2,0.15,0.17142857142857143,0.71
0.36,0.2,0.15,0.17142857142857143,0.71
0.37,0.21428571428571427,0.15,0.17647058823529413,0.72
0.38,0.21428571428571427,0.15,0.17647058823529413,0.72
0.39,0.21428571428571427,0.15,0.17647058823529413,0.72
0.4,0.21428571428571427,0.15,0.17647058823529413,0.72
0.41,0.21428571428571427,0.15,0.17647058823529413,0.72
0.42,0.16666666666666666,0.1,0.125,0.72
0.43,0.16666666666666666,0.1,0.125,0.72
0.44,0.16666666666666666,0.1,0.125,0.72
0.45,0.18181818181818182,0.1,0.12903225806451613,0.73
0.46,0.18181818181818182,0.1,0.12903225806451613,0.73
0.47,0.18181818181818182,0.1,0.12903225806451613,0.73
0.48,0.18181818181818182,0.1,0.12903225806451613,0.73
0.49,0.18181818181818182,0.1,0.12903225806451613,0.73
0.5,0.18181818181818182,0.1,0.12903225806451613,0.73
0.51,0.18181818181818182,0.1,0.12903225806451613,0.73
0.52,0.18181818181818182,0.1,0.12903225806451613,0.73
0.53,0.18181818181818182,0.1,0.12903225806451613,0.73
0.54,0.18181818181818182,0.1,0.12903225806451613,0.73
0.55,0.18181818181818182,0.1,0.12903225806451613,0.73
0.56,0.18181818181818182,0.1,0.12903225806451613,0.73
0.57,0.18181818181818182,0.1,0.12903225806451613,0.73
0.58,0.2,0.1,0.13333333333333333,0.74
0.59,0.2,0.1,0.13333333333333333,0.74
0.6,0.2222222222222222,0.1,0.13793103448275862,0.75
0.61,0.16666666666666666,0.05,0.07692307692307693,0.76
0.62,0.2,0.05,0.08,0.77
0.63,0.2,0.05,0.08,0.77
0.64,0.2,0.05,0.08,0.77
0.65,0.2,0.05,0.08,0.77
0.66,0.2,0.05,0.08,0.77
0.67,0.25,0.05,0.08333333333333333,0.78
0.68,0.25,0.05,0.08333333333333333,0.78
0.69,0.25,0.05,0.08333333333333333,0.78
0.7,0.25,0.05,0.08333333333333333,0.78
0.71,0.25,0.05,0.08333333333333333,0.78
0.72,0.25,0.05,0.08333333333333333,0.78
0.73,0.25,0.05,0.08333333333333333,0.78
0.74,0.25,0.05,0.08333333333333333,0.78
0.75,0.0,0.0,0.0,0.78
0.76,0.0,0.0,0.0,0.78
0.77,0.0,0.0,0.0,0.78
0.78,0.0,0.0,0.0,0.78
0.79,0.0,0.0,0.0,0.79
0.8,0.0,0.0,0.0,0.79
0.81,0.0,0.0,0.0,0.79
0.82,0.0,0.0,0.0,0.79
0.83,0.0,0.0,0.0,0.79
0.84,0.0,0.0,0.0,0.79
0.85,0.0,0.0,0.0,0.79
0.86,0.0,0.0,0.0,0.79
0.87,0.0,0.0,0.0,0.79
0.88,0.0,0.0,0.0,0.79
0.89,0.0,0.0,0.0,0.79
0.9,0.0,0.0,0.0,0.79
0.91,0.0,0.0,0.0,0.79
0.92,0.0,0.0,0.0,0.79
0.93,0.0,0.0,0.0,0.79
0.94,0.0,0.0,0.0,0.79
0.95,0.0,0.0,0.0,0.79
0.96,0.0,0.0,0.0,0.79
0.97,0.0,0.0,0.0,0.8
0.98,0.0,0.0,0.0,0.8
0.99,0.0,0.0,0.0,0.8
1.0,0.0,0.0,0.0,0.8
