threshold,precision,recall,f1,accuracy
0.0,0.16932509680988383,1.0,0.28961166962349694,0.16932509680988383
0.01,0.19758454106280193,0.8908249387421726,0.32343201700192753,0.3689378572745713
0.02,0.19891869119505687,0.7713041110808603,0.31627128104939994,0.43532177761386687
0.03,0.1963673214842532,0.685815409746801,0.3053148294042785,0.47155633413239906
0.04,0.1922036191442584,0.6188401851347672,0.2933092457577908,0.49506730591923287
0.05,0.18821618695299105,0.5679281241491968,0.2827324478178368,0.5120781855061773
0.06,0.1857933931640252,0.5298121426626735,0.2751113310242454,0.5272450673059192
0.07,0.18138041733547353,0.49224067519738635,0.2650832050436185,0.5378480545823345
0.08,0.17567283431455005,0.4549414647427171,0.2534698521046644,0.5462382445141066
0.09,0.17319474835886214,0.43098284780833107,0.2470927963786779,0.5552738336713996
0.1,0.17042492917847024,0.4094745439695072,0.24067850856136982,0.56251152498617
0.11,0.166353824495542,0.38606044105635723,0.23251619250635402,0.5684584178498986
0.12,0.16271186440677965,0.36591342227062346,0.22525768876225594,0.5738060114327863
0.13,0.16059850374064838,0.35066702967601415,0.2203027452321902,0.5797068043518347
0.14,0.15760521939362926,0.33542063708140485,0.21444734551784161,0.5839018993177209
0.15,0.15495732107682206,0.3212632725292676,0.2090715804394047,0.5884196938963673
0.16,0.15332794395041768,0.30982847808331065,0.20513744930148717,0.5934445878664946
0.17,0.1519039735099338,0.29975496869044377,0.2016298873729512,0.5980545823345012
0.18,0.1489242019406553,0.2883201742444868,0.1964020771513353,0.6004978794025447
0.19,0.14800977151889638,0.2804247209365641,0.19375470278404816,0.604831274202471
0.2,0.1459095565637348,0.27144023958616936,0.18979630687226348,0.607597270883275
0.21,0.14405260011954574,0.26245575823577455,0.1860106126386879,0.6110547667342799
0.22,0.14211570752556862,0.2534712768853798,0.1821205007824726,0.6145122625852849
0.23,0.13929573075724525,0.24339776749251293,0.17718759290456843,0.6172321593214088
0.24,0.13626967721418348,0.23332425809964608,0.17205380445693635,0.6197676562788125
0.25,0.1347057869995137,0.22624557582357746,0.1688681162365373,0.622902452517057
0.26,0.13199142055766375,0.21780560849441874,0.16437230326689953,0.62502304997234
0.27,0.13012895662368112,0.2115436972502042,0.16113645790128578,0.6270514475382629
0.28,0.12791687957758474,0.20446501497413558,0.15737636211232187,0.6292642448829061
0.29,0.12709087773754096,0.20065341682548327,0.15561655405405406,0.6312926424488291
0.3,0.12552594670406733,0.19493601960250476,0.15271408766129893,0.6337359395168726
0.31,0.12415269354263289,0.1894908793901443,0.1500161655350792,0.6364097363083164
0.32,0.12211939756849936,0.18322896814592976,0.14655923344947736,0.6386686335976397
0.33,0.119315043270116,0.17642254288047918,0.14235500878734622,0.6400516319380417
0.34,0.11712893553223389,0.17016063163626463,0.13875013875013875,0.642310529227365
0.35,0.11523809523809524,0.16471549142390415,0.13560461728118345,0.644431126682648
0.36,0.11274415006768516,0.15872583719030764,0.1318407960199005,0.6460446247464503
0.37,0.11139489194499018,0.15436972502041926,0.1294077370763437,0.6483035220357736
0.38,0.10991207034372502,0.14974135583991288,0.12677192578079982,0.650700719159137
0.39,0.10729440290967872,0.14456847263817044,0.12317327766179541,0.6514844182186982
0.4,0.1062346185397867,0.14102913150013613,0.12118376418294538,0.6536511156186613
0.41,0.10340531561461794,0.13558399128777565,0.11732830722110967,0.6545731145122626
0.42,0.09978902953586498,0.12877756602232507,0.11244502555568762,0.6557717130739443
0.43,0.09843783436764392,0.12523822488429076,0.11023244668104482,0.6576618108058271
0.44,0.09798395837849555,0.12306016879934659,0.10909968621771662,0.65969020837175
0.45,0.09458864936207655,0.11707051456575007,0.10463560043800949,0.6607505070993914
0.46,0.09239373601789709,0.11244214538524366,0.10143681689794916,0.6626867047759543
0.47,0.09045454545454545,0.10835829022597332,0.09860027251331599,0.6645307025631569
0.48,0.08735844696094291,0.10291315001361286,0.0945,0.6660520007375991
0.49,0.08679333802486512,0.10073509392866867,0.09324596774193548,0.6682647980822423
0.5,0.08566682486948268,0.09828478083310645,0.09154304551794092,0.6696938963673243
0.51,0.08345358345358346,0.09447318268445412,0.08862214276593028,0.6709846948183662
0.52,0.08215504631886884,0.0917506125782739,0.08668810289389067,0.6726442928268486
0.53,0.0801781737193764,0.08821127144023959,0.08400311122634171,0.674257790890651
0.54,0.07835258663987946,0.0849441873128233,0.08151534944480732,0.6758712889544533
0.55,0.07578463893850472,0.08086033215355296,0.07824025289778715,0.6773925871288955
0.56,0.07455345586331867,0.07841001905799075,0.07643312101910828,0.679144385026738
0.57,0.07281299109481404,0.07568744895181051,0.07422240021358964,0.6802968836437396
0.58,0.07207446808510638,0.07378164987748434,0.07291806807480156,0.6823252812096625
0.59,0.07057869118442402,0.07105907977130412,0.07081807081807082,0.6842614788862253
0.6,0.0686436024162548,0.06806425265450586,0.0683526999316473,0.6858288770053476
0.61,0.06595863610955842,0.06425265450585353,0.06509446972831334,0.68748847501383
0.62,0.06519274376417233,0.06261911244214538,0.06388001666435217,0.6892402729116726
0.63,0.06336805555555555,0.05962428532534713,0.06143919203254313,0.6915452701456758
0.64,0.06152487488960848,0.05690171521916689,0.05912305516265912,0.6933431679881984
0.65,0.06025179856115108,0.0547236591342227,0.057354829504922246,0.6954176654988014
0.66,0.05941499085923217,0.053090117070514566,0.056074766355140186,0.6973538631753642
0.67,0.05760297305667389,0.05063980397495235,0.05389742103738047,0.6989673612391665
0.68,0.05529225908372828,0.047644976858154095,0.05118455688797894,0.7009035589157293
0.69,0.05195224265892223,0.04383337870950177,0.04754873006497342,0.7026553568135718
0.7,0.048339362051956596,0.04002178056084944,0.043789097408400354,0.7040383551539738
0.71,0.04605042016806723,0.037299210454669204,0.04121540312876053,0.7061589526092569
0.72,0.04452054794520548,0.03539341138034304,0.03943576520552101,0.7080490503411396
0.73,0.04372158097236796,0.03403212632725293,0.03827311696264544,0.7104001475198229
0.74,0.04257602862254025,0.032398584263544784,0.0367965367965368,0.7127973446431864
0.75,0.042170883755042174,0.03130955622107269,0.0359375,0.7155633413239905
