threshold,precision,recall,f1,accuracy
0.0,0.2,1.0,0.3333333333333333,0.2
0.01,0.18181818181818182,0.6,0.27906976744186046,0.38
0.02,0.22916666666666666,0.55,0.3235294117647059,0.54
0.03,0.24324324324324326,0.45,0.3157894736842105,0.61
0.04,0.22580645161290322,0.35,0.27450980392156865,0.63
0.05,0.2413793103448276,0.35,0.2857142857142857,0.65
0.06,0.2727272727272727,0.3,0.2857142857142857,0.7
0.07,0.25,0.25,0.25,0.7
0.08,0.2777777777777778,0.25,0.2631578947368421,0.72
0.09,0.23529411764705882,0.2,0.21621621621621623,0.71
0.1,0.25,0.2,0.2222222222222222,0.72
0.11,0.2,0.15,0.17142857142857143,0.71
0.12,0.14285714285714285,0.1,0.11764705882352941,0.7
0.13,0.15384615384615385,0.1,0.12121212121212122,0.71
0.14,0.15384615384615385,0.1,0.12121212121212122,0.71
0.15,0.15384615384615385,0.1,0.12121212121212122,0.71
0.16,0.18181818181818182,0.1,0.12903225806451613,0.73
0.17,0.18181818181818182,0.1,0.12903225806451613,0.73
0.18,0.18181818181818182,0.1,0.12903225806451613,0.73
0.19,0.18181818181818182,0.1,0.12903225806451613,0.73
0.2,0.18181818181818182,0.1,0.12903225806451613,0.73
0.21,0.2,0.1,0.13333333333333333,0.74
0.22,0.125,0.05,0.07142857142857142,0.74
0.23,0.125,0.05,0.07142857142857142,0.74
0.24,0.125,0.05,0.07142857142857142,0.74
0.25,0.125,0.05,0.07142857142857142,0.74
0.26,0.125,0.05,0.07142857142857142,0.74
0.27,0.125,0.05,0.07142857142857142,0.74
0.28,0.125,0.05,0.07142857142857142,0.74
0.29,0.125,0.05,0.07142857142857142,0.74
0.3,0.125,0.05,0.07142857142857142,0.74
0.31,0.125,0.05,0.07142857142857142,0.74
0.32,0.125,0.05,0.07142857142857142,0.74
0.33,0.125,0.05,0.07142857142857142,0.74
0.34,0.14285714285714285,0.05,0.07407407407407407,0.75
0.35,0.14285714285714285,0.05,0.07407407407407407,0.75
0.36,0.14285714285714285,0.05,0.07407407407407407,0.75
0.37,0.14285714285714285,0.05,0.07407407407407407,0.75
0.38,0.14285714285714285,0.05,0.07407407407407407,0.75
0.39,0.14285714285714285,0.05,0.07407407407407407,0.75
0.4,0.14285714285714285,0.05,0.07407407407407407,0.75
0.41,0.14285714285714285,0.05,0.07407407407407407,0.75
0.42,0.14285714285714285,0.05,0.07407407407407407,0.75
0.43,0.14285714285714285,0.05,0.07407407407407407,0.75
0.44,0.14285714285714285,0.05,0.07407407407407407,0.75
0.45,0.14285714285714285,0.05,0.07407407407407407,0.75
0.46,0.14285714285714285,0.05,0.07407407407407407,0.75
0.47,0.14285714285714285,0.05,0.07407407407407407,0.75
0.48,0.14285714285714285,0.05,0.07407407407407407,0.75
0.49,0.14285714285714285,0.05,0.07407407407407407,0.75
0.5,0.14285714285714285,0.05,0.07407407407407407,0.75
0.51,0.14285714285714285,0.05,0.07407407407407407,0.75
0.52,0.14285714285714285,0.05,0.07407407407407407,0.75
0.53,0.14285714285714285,0.05,0.07407407407407407,0.75
0.54,0.14285714285714285,0.05,0.07407407407407407,0.75
0.55,0.14285714285714285,0.05,0.07407407407407407,0.75
0.56,0.14285714285714285,0.05,0.07407407407407407,0.75
0.57,0.14285714285714285,0.05,0.07407407407407407,0.75
0.58,0.14285714285714285,0.05,0.07407407407407407,0.75
0.59,0.14285714285714285,0.05,0.07407407407407407,0.75
0.6,0.14285714285714285,0.05,0.07407407407407407,0.75
0.61,0.14285714285714285,0.05,0.07407407407407407,0.75
0.62,0.14285714285714285,0.05,0.07407407407407407,0.75
0.63,0.14285714285714285,0.05,0.07407407407407407,0.75
0.64,0.14285714285714285,0.05,0.07407407407407407,0.75
0.65,0.14285714285714285,0.05,0.07407407407407407,0.75
0.66,0.14285714285714285,0.05,0.07407407407407407,0.75
0.67,0.14285714285714285,0.05,0.07407407407407407,0.75
0.68,0.14285714285714285,0.05,0.07407407407407407,0.75
0.69,0.16666666666666666,0.05,0.07692307692307693,0.76
0.7,0.16666666666666666,0.05,0.07692307692307693,0.76
0.71,0.16666666666666666,0.05,0.07692307692307693,0.76
0.72,0.16666666666666666,0.05,0.07692307692307693,0.76
0.73,0.2,0.05,0.08,0.77
0.74,0.2,0.05,0.08,0.77
0.75,0.2,0.05,0.08,0.77
0.76,0.2,0.05,0.08,0.77
0.77,0.2,0.05,0.08,0.77
0.78,0.2,0.05,0.08,0.77
0.79,0.2,0.05,0.08,0.77
0.8,0.2,0.05,0.08,0.77
0.81,0.2,0.05,0.08,0.77
0.82,0.2,0.05,0.08,0.77
0.83,0.2,0.05,0.08,0.77
0.84,0.2,0.05,0.08,0.77
0.85,0.3333333333333333,0.05,0.08695652173913043,0.79
0.86,0.3333333333333333,0.05,0.08695652173913043,0.79
0.87,0.3333333333333333,0.05,0.08695652173913043,0.79
0.88,0.3333333333333333,0.05,0.08695652173913043,0.79
0.89,0.5,0.05,0.09090909090909091,0.8
0.9,0.5,0.05,0.09090909090909091,0.8
0.91,0.0,0.0,0.0,0.79
0.92,0.0,0.0,0.0,0.79
0.93,0.0,0.0,0.0,0.79
0.94,0.0,0.0,0.0,0.8
0.95,0.0,0.0,0.0,0.8
0.96,0.0,0.0,0.0,0.8
0.97,0.0,0.0,0.0,0.8
0.98,0.0,0.0,0.0,0.8
0.99,0.0,0.0,0.0,0.8
1.0,0.0,0.0,0.0,0.8
